ID,Group,Time,L1_Req,L1_Calque,Latency,Fluency,N400
1,CG,T1,10.241785382528082,6.695818537423394,1240.676395334097,82.1842388512642,5.17218527538733
1,CG,T2,8.114657607627048,10.274268194116262,1237.4408620814072,67.24420491252039,6.059584061020351
1,CG,T3,7.241455767968844,5.5753945421454345,1143.8747180192447,56.69375804273761,2.685115034481754
2,CG,T1,7.594281176897568,4.771771535264268,1193.9946265633384,62.735807395830314,3.522774818130592
2,CG,T2,12.364121922303884,6.3032921389296215,1139.4539486563094,59.60201451029235,4.537864185664744
2,CG,T3,8.677306474274666,4.067814129670934,1162.5977225683941,67.19489048064956,4.6916287502894125
3,CG,T1,7.495733469426508,11.075012005919664,1148.1103885366892,61.538312568352794,6.651562876944465
3,CG,T2,5.647890875072443,7.2594999090104615,855.6461826568313,60.374511608812554,5.575605730216773
3,CG,T3,10.246166449988527,6.977010218617934,1093.8092404656463,69.59117043528569,3.0300692134856013
4,CG,T1,7.200389479013229,5.986594703888468,1297.997111670648,72.74894631654769,3.0317437824921725
4,CG,T2,9.510209923486986,5.952818983084104,1035.2309199571657,75.89341031072695,6.743399331494331
4,CG,T3,10.728200297790497,4.753721448910195,1066.71026738083,74.65010745122851,6.4657631779713025
5,CG,T1,7.802064405386775,6.591550251339602,995.1131036391561,60.430347007354634,6.637536151351878
5,CG,T2,12.090600071427057,6.641577732523265,1270.4946057048833,73.89308820038107,4.396832343552826
5,CG,T3,9.303489013771035,9.983680446225133,1104.9843545246067,84.51714924651205,1.4323568542743579
6,CG,T1,11.05475626093806,7.191503550123977,1108.1389709347786,70.73408621228401,2.7174035195587503
6,CG,T2,8.150820280406219,7.585647657325842,1336.9051662638121,66.85383825381082,4.1681089559495375
6,CG,T3,7.145607391038659,8.613884658944563,1156.0251553523558,67.7619183698637,5.818574406358698
7,CG,T1,9.2426938733701,9.131018979172357,1051.7125668571707,67.37870282721785,4.95104858561498
7,CG,T2,5.041212629669703,7.451464609542067,1166.5477381051844,71.04090765313968,4.971578013274794
7,CG,T3,4.861573144873965,5.67458028991621,1062.0199676862524,65.58178184622705,4.874200003667587
8,CG,T1,10.010127142036346,11.149608982663167,1174.4408937964574,72.06040312578212,5.395775717927366
8,CG,T2,3.9030719617523957,6.741669474011723,1138.4322293917437,90.70593689988229,5.030694649306429
8,CG,T3,9.153868355834032,6.523634106648465,946.3850747332656,81.14258251612017,6.152706245761483
9,CG,T1,10.977579867607616,4.999347599451575,1346.3912035310539,58.785191497661756,6.321599931320378
9,CG,T2,14.176139064524946,4.620820084712485,1050.718317855612,71.79721092070113,4.595134084237321
9,CG,T3,4.523341422334669,6.75083854457326,961.2774800783453,75.78873944508145,3.812806072072675
10,CG,T1,12.874836012543849,5.276842756860278,1104.9113877312054,76.50813773895736,3.776789956992463
10,CG,T2,9.268649836510322,9.675714059421342,904.9523471614282,72.47707086825844,5.663835911947793
10,CG,T3,10.354557179443276,3.8787084360682194,925.1360741682013,76.17553252493518,5.51577854252646
11,CG,T1,9.626232125864691,7.762186060893347,1054.7965389790113,71.85802957728802,5.910301462618154
11,CG,T2,6.9141214549340795,10.904703924518465,1196.3366089276503,61.46957202237881,6.219175052087361
11,CG,T3,5.963295824431697,8.331586128233393,1272.2033810610365,65.43454145318631,6.448726580942051
12,CG,T1,10.031952317341245,8.808532351987878,1415.5510175715526,68.03689507197704,4.4447693698995145
12,CG,T2,6.476213925936191,5.005217373076036,1119.2057606820254,73.72921579853315,5.687367119062026
12,CG,T3,10.46795812259006,6.628604162131395,1313.4947708020243,69.88274533409636,8.908236833225466
13,CG,T1,10.564168369412515,5.114253375884179,1000.0750502714443,73.85977932194548,5.187152100543809
13,CG,T2,10.485001235230229,7.841122774061798,1119.8039522280378,64.22565025545276,3.1792138854397893
13,CG,T3,7.283712619832448,8.484077347511638,1139.9731241782285,62.03408977030409,5.342453296191654
14,CG,T1,9.963293449322093,5.055513640357507,1171.521514832374,70.465669747568,3.899841583037128
14,CG,T2,9.594468400870708,8.033725958010116,1281.6271740445388,79.43041641627923,3.3712628848600725
14,CG,T3,6.055437400212194,7.733077587859051,1181.9300331277093,76.12038149044838,10.493824086916609
15,CG,T1,10.427226276732917,9.498244408397317,1283.5602468890484,75.21113001044638,5.0586230575035165
15,CG,T2,10.597423051233168,5.0997845280173415,1096.8453950563987,67.11709161736717,5.414623795140852
15,CG,T3,14.186646416683772,2.4920165762981537,1206.0764266524318,59.09827303048279,4.439295387894793
16,CG,T1,11.722376492418416,7.141416042010018,999.1157310898972,64.27757032592025,6.451436848508546
16,CG,T2,6.874083420707158,7.276208897080345,1136.380057586534,65.78719721915347,8.301521725055455
16,CG,T3,9.984797555795028,2.144686309353263,1136.10360406772,66.70570828185289,6.293406668714713
17,CG,T1,7.0186981539182485,6.747579828772822,1220.698219057264,76.92604155336097,3.8195850301219134
17,CG,T2,7.863746910397628,5.755120315445896,1038.5339074396804,85.12363392224877,5.866974395345338
17,CG,T3,5.247790114162387,8.619296283520507,1407.1018675817686,80.25972208440918,2.972882047664381
18,CG,T1,7.789414817834372,9.78720452821057,1050.9262748133706,73.55055542516983,6.584487674801071
18,CG,T2,6.382673821054792,6.66904421666404,676.2225723903298,62.80489886932568,4.9464045880495755
18,CG,T3,5.280542045087877,10.191304868649597,909.7802070855114,68.47964410642413,5.283036808200528
19,CG,T1,12.603183222665288,3.841103267405233,1312.8429253016943,70.0818644881567,4.125887888532869
19,CG,T2,9.855258685658177,7.237931330261634,1045.9696371977689,71.55841667992016,4.760560964393536
19,CG,T3,8.683793363128121,8.056687483946302,1332.0423542603494,62.097476009385204,8.086246724518773
20,CG,T1,4.119780501193746,6.666072790921716,1232.3644089078407,72.24793494188026,4.628220672251169
20,CG,T2,8.17969437410681,5.715397943750568,1047.4889340278105,77.7968167761682,5.799821680351066
20,CG,T3,6.667726011848365,8.579119725953152,1153.0219329227252,78.50289695071169,5.981480378693057
21,CG,T1,6.927512472694819,5.767601711566667,1254.6211047172567,74.88296212346772,5.470737768450193
21,CG,T2,8.993318458271954,9.610862770734535,1047.1800055629838,75.37677904936031,5.016930286592548
21,CG,T3,7.85579699193195,9.017309074371818,1225.5582888583242,78.50807708800511,6.92767033001606
22,CG,T1,9.052509604081898,8.500296536848921,1106.5626540769163,72.59333081990754,5.3177997238852415
22,CG,T2,8.942489912481795,8.10934545596121,1015.4491043473139,87.73909820548369,3.891575665900417
22,CG,T3,5.36452846803067,9.147843921700149,1220.832777154811,76.99295853641723,5.979683712969991
23,CG,T1,8.969383067882713,5.02604038273117,1160.6126381471217,64.58270630790311,6.865167626784851
23,CG,T2,8.332356546244652,4.983906167056475,1085.0059821685809,74.30345163420499,4.510785626074435
23,CG,T3,6.344449011083922,7.136111865282206,1144.2953199552212,67.94445459703095,4.440546372134348
24,CG,T1,9.58012484339409,3.814214448705887,952.9550715872823,64.2524462299805,5.201173987603414
24,CG,T2,9.477268913995012,10.045783677289014,1250.0723472482828,69.72049176029259,5.273377308936236
24,CG,T3,5.893676588405478,6.5592711008167415,1069.5877905511807,74.58174848270471,3.9418766790267474
25,CG,T1,10.298366285602931,10.372025608605671,1134.77357921604,73.21369377679153,6.466201588395558
25,CG,T2,7.696948820285408,7.293003459982916,1131.7629361094512,71.78140878839065,4.217786302602347
25,CG,T3,8.461275435647357,7.695596240739989,1313.160105091306,79.67416660868166,8.114455440516178
26,CG,T1,7.081631092779876,8.919105400785492,1175.6678808033691,87.51842346574138,4.368382400502788
26,CG,T2,6.600695394548059,5.481336180023151,832.654598596627,66.79395982655392,4.237214273824823
26,CG,T3,8.77598446619052,7.351863146709751,1372.663917490224,79.60339070548841,4.292334882072636
27,CG,T1,6.753963321629105,8.082222177314312,965.1673510171101,84.65167012683483,7.1512161690098015
27,CG,T2,7.5270608697382375,3.031104036000069,1319.5421323831579,70.08368123797905,7.032942836762846
